Id;Name;Slug;Begginer;Description;Source;Tags
1;Жим ногами в тренажёре под углом;jim_nogami;"
Для мужчин: 10 - 15 повторений по 10 - 20 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 5 - 10 кг. 2 - 3 подхода.

";"
Обычно чем выше угол у этого тренажера, тем он тяжелее. Ноги лучше ставить ближе к верхнему краю платформы. В таком случае меньше вероятность, что вы будете отрывать таз от лавки. А это может травмировать вашу спину. Ширину постановки ног можно варьировать.


Основные фишки


1. Это упражнение отлично подойдёт тем, у кого проблемы со спиной. Так как здесь нет осевой нагрузки на позвоночник и спина выключена из работы.


2. Чем шире поставите ноги и разведёте колени в стороны, тем больше нагрузка ляжет на внутреннюю часть бедра. Чем уже ноги и колени, тем больше будет работать четырёхглавая мышца (передняя поверхность бедра).


3. Чем ниже будете опускать платформу, тем больше будут работать ягодицы. Однако не переусердствуйте. В нижней точке таз не должен отрываться от опоры. Можно травмировать поясницу.


4. Как вариант можно жать одной ногой. Нога в таком случае ставится чуть в стороне от центра платформы. А нагрузка больше идёт на внутреннюю поверхность бедра. Но новичкам такой вариант не советую.


5. Так же можно попробовать не выпрямлять ноги до конца. Так ваши мышцы сильнее и быстрее забьются.


6. Чем выше на платформе вы поставите ноги, тем больше будут грузиться ягодицы. А чем ниже – бёдра.


7. Вообще, это упражнение является базовым. Но не советую им заменять приседания со штангой. Это оправдано только в том случае, если в силу травм вы не можете приседать.

";https://tvoytrener.com/www/yprajnenia/jim_nogami.html;Ягодицы,Передняя часть бедра
2;Выпады с гантелями;vipadi_s_gantelymi;"
Для мужчин: 8 - 15 повторений (на каждую ногу) 5 - 10 кг (каждая гантеля). 3 - 4 подхода.
Для женщин: 8 - 15 повторений (на каждую ногу) 3 - 5 кг (каждая гантеля). 3 - 4 подхода.

";"

Отличное упражнение для ягодиц. Ногу лучше не приставлять, а оставлять в положении врозь. То есть шагать не нужно. Это пустая трата сил. Работает ягодица впередстоящей ноги. Если вы хотите сильные или красивые ягодицы - вы должны делать это упражнение. Но не советую его выполнять людям с больными коленями.


Основные фишки


1. Чтобы утяжелить упражнение и добавить ему эффективности, ставьте переднюю ногу на небольшое возвышение (7 – 15 см). Так вы сможете ниже опускаться и сильнее растягивать ягодицы.


2. Вариант с гантелями отлично подойдёт для домашнего пользования и для тех, у кого проблемы со спиной. Так как нагрузка здесь на позвоночник меньше, чем со штангой. Да и равновесие легче держать. Но со штангой вы сможете сделать с большим весом.


3. Для улучшения равновесия ставьте ноги не на одной линии, а разводите их немного в стороны.


4. Задняя нога желательно должна быть всё время на носке. Это делается для того, чтобы большую часть тела переместить на переднюю (работающую) ногу.


5. Опускаться нужно как можно ниже. А выпрямлять ноги нужно полностью. Допускается так же небольшой наклон корпуса внизу движения. Это дополнительно растянет ягодицы.


6. Не нужно подавать колено дальше носка стопы. Оптимальный вариант, это вровень с носком.


7. Если вам пока тяжело делать это упражнение, то можете использовать облегчённый вариант. Возьмите гантелю в одну руку. А свободной рукой держитесь за опору, помогая себе по мере необходимости.

";https://tvoytrener.com/www/yprajnenia/vipadi_s_gantelymi.html;Ягодицы,Передняя часть бедра
3;Сгибание ног в тренажёре лёжа       ;sgibanie_nog_v_trenajere3;"
Для мужчин: 10 - 15 повторений. 2 - 3 подхода.
Для женщин: 10 - 15 повторений. 2 - 3 подхода.

";"

Рекомендую в финальной фазе немного поднимать колени вверх. От этого выиграет и задняя поверхность бедра и ягодицы, так как это заставит их сильнее сокращаться. Опускать ноги лучше до конца.


Основные фишки


1. Ложиться надо так, чтобы колени не упирались в подставку, а немного свешивались. Так более безопасно для них.


2. Валик устанавливаем так, чтобы он упирался в щиколотку, ближе к пятке. Чем длиннее рычаг, тем лучше.


3. Сгибать ноги желательно до конца. Чтобы валик касался ягодиц. Разгибать же можно как до конца, так и оставляя небольшой угол в колене.


4. Если в верхней фазе движения вы будете немного колени отрывать от спинки, то немного повысите эффективность упражнения. Так будут включаться в работу ягодицы, и будет сильнее сокращаться задняя поверхность бедра. 


5. Это упражнение не является базовым. Поэтому делайте его после становых тяг, наклонов или гиперэкстензии. Чтобы «добить» заднюю поверхность бедра.


6. Как вариант, можно делать это упражнение одной ногой по очереди. Так вы сможете лучше сосредоточится на одной ноге.

";https://tvoytrener.com/www/yprajnenia/sgibanie_nog_v_trenajere3.html;Ноги,Задняя часть бедра
4;Приседания со штангой на плечах     ;prisedania_shtanga2;"
Для мужчин: 8 - 12 повторений по 20 - 30 кг. 3 - 4 подхода.
Для женщин: 10 - 15 повторений по 10 - 15 кг. 3 - 4 подхода.

";"

Роль этого упражнения переоценить сложно. Оно является базовым для развития всей нижней части тела. Если хотите, чтобы хорошо прокачались ягодицы, то приседать придется немного ниже, чем параллель пола.


Основные фишки



1. Ширина постановки ног напрямую влияет на распределение нагрузки. Уже ноги – больше нагрузки на переднюю часть бедра. Шире ноги (и, соответственно, колени) – часть нагрузки перекладывается на внутреннюю поверхность бедра.


2. Если в нижней точке у вас никак не получается не отрывать пятки от пола, то подкладывайте под пятки подставку высотой примерно 2см. Самый простой вариант – небольшие блины, или кусок резины. Но это нужно делать только в том случае, если без этого никак.


3. Чем ниже присядете, тем сильнее заработают ягодицы. Я лично сторонник того, чтобы в нижней точке тазобедренный сустав опускался чуть ниже коленного. То есть желательно приседать ниже параллели.


4. Во время приседания колени должны смотреть туда же, куда и носки. А у многих новичков они (колени) заваливаются вовнутрь. А носки должны быть немного развёрнуты в стороны. Примерно на 1/3.


5. Если вы не занимаетесь пауэрлифтингом, то не вижу смысла класть штангу по лифтёрски. То есть не на плечи, а ниже. Сейчас мода у многих тренеров учить новичков лифтёрским приседаниям. Я же считаю, что такая техника оправдана только в пауэрлифтинге. А если человек не собирается им заниматься, то учить нужно классической технике.

";https://tvoytrener.com/www/yprajnenia/prisedania_shtanga2.html;Ягодицы,Передняя часть бедра
5;Сведение ног в тренажёре;svedenie_nog_v_trenajere;"
Для мужчин: 10 - 15 повторений по 20 - 25 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 10 - 15 кг. 2 - 3 подхода.

";"

Аналог приведения бедра в кроссовере. Не настолько эффективный, как в кроссовере, зато в тренажёре )). Сводить лучше до самого конца.


Основные фишки


1. Мне больше нравится разновидность тренажёра, где голень кладётся на подставки. То есть ноги почти полностью выпрямлены в коленях. На мой взгляд, так внутренние мышцы бедра работают немного получше.


2. Желательно не горбить спину и не наклонять её. Последние 2 – 3 повторения, если уже нет сил, можно помочь себе руками.


3. Вес ставьте такой, чтобы могли сделать как минимум 10 повторений. Мышцы на внутренней поверхности бедра довольно слабые и нежные. Поэтому, предельные веса здесь не нужны.


4. Перед этим упражнением желательно размять тазобедренные суставы и порастягивать паховые связки. Чем лучше у вас подвижность в суставах, тем шире вы сможете развести ноги. А значит, увеличить амплитуду движения.


5. Это упражнение не базовое. Поэтому, выполнять его отдельно от других упражнений на ноги нет смысла. Оно хорошо подойдёт в конце вашей тренировки на ноги.


6. Разворачивая носки наружу или вовнутрь вы можете перемещать нагрузку вовнутрь или наружу соответственно.


";https://tvoytrener.com/www/yprajnenia/svedenie_nog_v_trenajere.html;Ноги,Внутренняя часть бедра
6;Разведение ног в тренажёре;razvedenie_nog;"
Для мужчин: 10 - 15 повторений по 20 - 25 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 10 - 20 кг. 2 - 3 подхода.

";"

В отличие от картинки, ноги в коленях желательно сгибать совсем немного. В конечной фазе желательно делать паузу. Можно так же попробовать вариант с наклоном корпуса вперед. Это дополнительно растянет работающие мышцы.


Основные фишки


1. Мне больше нравятся тренажёры, где ноги нужно держать почти прямо. На мой взгляд, они более эффективные. Так как в них можно чуть пошире развести ноги.


2. Когда разводите ноги – задержитесь на секунду в таком положении. Разводить ноги лучше мощным маховым движением. А не вяло и плавно. Только в меру. Не нужно изо всех сил дергать ногами.


3. Это упражнение не является базовым, но оно хорошо дополнит базовые упражнения на ягодицы, если будет выполняться сразу после них.


4. До конца ноги не сводите. Пусть ваши бедра и ягодицы будут в постоянном напряжении.


5. Вес ставьте такой, чтобы могли сделать хотя бы 10 повторений. Но делать нужно до жжения в мышцах. Иначе толку от него будет мало.

6. Если носки развернуть наружу, то ягодицы будут работать немного сильнее. Но помните, что всё-таки в этом упражнении нагрузка на ягодицы косвенная. 

";https://tvoytrener.com/www/yprajnenia/razvedenie_nog.html;Ноги,Наружная часть бедра,Ягодицы
7;Разгибание ног в тренажёре;razgibanie_nog_v_trenajere;"
Для мужчин: 10 - 15 повторений по 20 - 30 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 10 - 15 кг. 2 - 3 подхода.

";"

Если носки повернете друг к другу, то больше будет работать медиальная (внутренняя) головка четырехглавой. Если в стороны, то - латеральная (наружная). Хорошо бы вверху делать паузу.


Основные фишки


1. Ставьте такой вес, чтобы вы могли сделать хотя бы 8 повторений. Лучше 10 – 12. Это упражнение не сделает ваши ноги сильнее. Поэтому нет смысла поднимать здесь предельные веса. Оно лишь может помочь росту ваших мышц, если будет использоваться в дополнение к базовым упражнениям.


2. Во всех видео говорится, что при развороте носков наружу больше нагружается внутренняя часть бедра. А при развороте вовнутрь – наружная. Однако, мои личные ощущения говорят мне о противоположном. Лично я привык доверять своим ощущениям. Поэтому утверждаю, что происходит всё наоборот.


3. Как вариант, можно делать разгибание одной ногой, затем другой. Либо обеими ногами попеременно. Но особого смысла я в этом не вижу.


4. Разгибание ног хорошо использовать в суперсетах с другим базовым упражнением для ног. Например, сразу после приседаний.


5. Пауза в верхней точке позволит сильнее сделать акцент на сокращении мышц.

";https://tvoytrener.com/www/yprajnenia/razgibanie_nog_v_trenajere.html;Ноги,Передняя часть бедра
8;Приседания с гантелями;prisedania_ganteli;"
Для мужчин: 10 - 15 повторений по 8 - 15 кг (каждая гантеля). 3 - 4 подхода.
Для женщин: 10 - 15 повторений по 3 - 5 кг (каждая гантеля). 3 - 4 подхода.

";"

Хорошо подходит для новичков в качестве разучивания техники в приседаниях. Плюс еще в том, что нет прямой нагрузки на позвоночник. Ну а вообще, как вы уже наверное догадались, большие веса с гантелями не поделаешь.


Основные фишки


1. Ноги нужно ставить на ширине плеч или уже. Лично я рекомендую уже. Примерно на ширину таза. Но не шире плеч, это точно.


2. Наклонять спину нужно примерно под 45 градусов. Но не ниже. Чем ниже наклоните спину, тем больше будет работать спина и меньше ноги.


3. Чем ниже присядете, тем больше будут работать ягодицы. В общем, приседаем так, чтобы гантелями слегка касаться пола. Но не нужно ставить их на пол. Бедро в нижней точке должно быть параллельно полу, или чуть ниже.


4. Если приседаете с тяжёлыми гантелями или много повторений, то для удобства можно использовать лямки.


5. Это упражнение хорошо подойдёт тем, у кого проблемы со спиной. В приседаниях с гантелями хоть и сохраняется нагрузка на спину, но она поменьше, чем со штангой такого же веса.


6. Если во время приседаний в нижней точке у вас отрываются пятки, то поставьте какую-нибудь подставку под пятки высотой примерно 2 см. Это могут быть маленькие диски от штанги. Однако делать это нужно только в том случае, если без подставок не получается удержать пятки.

";https://tvoytrener.com/www/yprajnenia/prisedania_ganteli.html;Ягодицы,Передняя часть бедра
9;Зашагивания на подставку с гантелями;zashagivania;"
Для мужчин: 10 - 15 повторений (на каждую ногу) 7 - 10 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений (на каждую ногу) 3 - 5 кг (каждая гантеля). 2 - 3 подхода.

";"

Выполняется со штангой и гантелями. В идеале высота ступеньки должна быть такой, чтобы колено было чуть-чуть выше тазобедренного сустава (как при глубоких приседаниях).


Основные фишки


1. Есть два основных варианта зашагиваний. Полные: это когда вторая нога тоже ставится на лавку. И неполные: это когда вторая нога остаётся в воздухе. При полных зашагиваниях утомляемость рабочих мышц меньше. Так как в то время, когда мы ставим вторую ногу на лавку, мы наполовину разгружаем рабочую ногу. Однако и вес гантелей можно взять побольше. А при неполных зашагиваниях вся нагрузка постоянно сосредоточена только на работающей ноге. Поэтому и утомляемость выше.


2. Какой бы вы вариант не выбрали, нужно вначале зашагивать одной ногой, а потом другой. А не попеременно чередовать их. Иначе не получится хорошо нагрузить мышцы.


3. Это упражнение можно так же выполнять со штангой на плечах. Устойчивость так меньше, зато можно взять больший вес.


4. Если вес гантелей большой, то можно использовать лямки. Это упражнение очень хорошо подходит для девушек и для домашних условий.


5. Высоту подставки желательно подбирать такую, чтобы, когда вы опускались вниз, колено было немного выше тазобедренного сустава. То есть угол в колене должен быть острым.

";https://tvoytrener.com/www/yprajnenia/zashagivania.html;Ягодицы,Передняя часть бедра
10;Выпады в бок;vipadi_v_bok;"
Для мужчин: 8 - 12 повторений (на каждую ногу) 0 - 5 кг. 2 - 3 подхода.
Для женщин: 8 - 12 повторений (на каждую ногу) 0 - 5 кг. 2 - 3 подхода.

";"

Обычно выполняется со штангой на плечах, или палочкой. Попу отставляем назад, ""нерабочая"" нога должна быть прямая в колене. Пятки и носки не отрывать. Наклоняемся вперёд на 45 - 60 градусов.


Основные фишки



1. Чтобы делать боковые выпады, у вас должна быть хорошая подвижность в тазобедренных суставах. При правильном выполнении это упражнение тренирует не только внутреннюю поверхность бедра. Но и ягодицы, и переднюю поверхность бедра.


2. Во время движения вниз таз нужно отставлять назад так, как будто вы делаете обычные приседания. Другая же нога должна быть полностью выпрямлена в колене. А стопа по возможности должна полностью касаться пола. Но для этого у вас должна быть хорошая подвижность в голеностопе.


3. Это упражнение можно делать как без веса, так и со штангой. Но перед его выполнением необходимо хорошо размяться. Оно вполне подойдёт в конце тренировки на ноги.


4. Чем ниже вы опуститесь, тем лучше. Ширина ног должна быть такая, чтобы вам удобно было опускаться достаточно низко. Носки развёрнуты наружу.


5. При движении вниз колено должно смотреть на носок. В противном случае вам скорее всего не хватает растяжки.





";https://tvoytrener.com/www/yprajnenia/vipadi_v_bok.html;Ягодицы,Внутренняя часть бедра,Передняя часть бедра
